"domain_key","status","disposition","retention_days","trigger","record_series","accountable_owner","official_copy_role","privacy_classification","decision_basis","condition","dependency","review_due_at","automatic_execution_enabled"
"assignmentDocumentFeedback","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/375","Records/Registrar","mixed_unresolved","ferpa_education_record","hold","Split feedback that reconstructs graded performance from ordinary coursework feedback before assigning the four-year grade-book or one-year coursework series.","Confirm that EdNotebook is a convenience copy rather than the official grade-appeal record.","2026-10-30T23:59:59.000Z","false"
"assignmentDrafts","approved","delete","366","Later of academic-term end, student export window, or legal-hold release","ASU 6.6/375","Records/Registrar","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use the 366-day no-earlier-than guardrail after academic-term end and preserve the student export, dispute, access-request, and legal-hold overrides.","Confirm course-work classification and the student export notice.","2026-10-30T23:59:59.000Z","false"
"assignmentFormSubmissions","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/375","Records/Registrar","mixed_unresolved","ferpa_education_record","hold","Split graded, ungraded, and research-routed submissions so grade-book, coursework, and IRB obligations cannot overwrite one another.","Confirm EdNotebook record-copy status and research-routing behavior.","2026-10-30T23:59:59.000Z","false"
"auditEvents","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Mixed FERPA access / ASU 1.2/010 / security audit","Privacy/Records + Security","mixed_unresolved","mixed_unresolved","hold","Separate FERPA disclosures, disposition logs, security events, governance approvals, and transitory telemetry or apply the longest authorized series.","Split audit events by record class or approve a longest-applicable retention rule.","2026-10-30T23:59:59.000Z","false"
"authIdentities","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU student technology account schedule","Institution Technology + Records","processor_copy","security_authentication","hold","Add status-aware account triggers, verified session revocation, retained-record pseudonymization, and an institutional access-record designation.","Implement status-aware triggers and confirm whether identity metadata is an official access record.","2026-10-30T23:59:59.000Z","false"
"authProviderLogs","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Provider-specific logs","Security + Institution Technology","provider_external_copy","security_authentication","hold","Approve the current provider TTL, export and legal-hold path, residual-copy statement, and deletion-verification procedure.","Document current Supabase plan TTL, database-log setting, export procedure, and hold exception.","2026-10-30T23:59:59.000Z","false"
"authSessions","approved","delete","30","Session expiry or revocation, whichever occurs first","Transitory security session","Security","transitory_derivative","security_authentication","accept_candidate","Delete after expiry or revocation, keep access tokens short-lived, and retain only separately classified security events needed for an active incident.","Verify Supabase Auth session cleanup and token revocation behavior.","2026-10-30T23:59:59.000Z","false"
"billingCustomers","approved","retain","1096","Close of the fiscal year containing the final financial activity","ASU 4.1-4.4 FE+3","Finance/Tax + Privacy","processor_copy","financial_transaction","accept_amended_guardrail","Use 1096 days after the close of the fiscal year containing final activity, or a longer tax, audit, refund, chargeback, or litigation period.","Finance must confirm the fiscal-year trigger and whether a longer tax or dispute period applies.","2026-10-30T23:59:59.000Z","false"
"billingSubscriptions","approved","retain","1096","Close of the fiscal year containing cancellation or final subscription activity","ASU 4.1-4.4 FE+3","Finance/Tax + Privacy","processor_copy","financial_transaction","accept_amended_guardrail","Use 1096 days after the close of the fiscal year containing cancellation or final activity and preserve linked accounting evidence.","Finance must confirm fiscal-year calculation and transaction-record linkage.","2026-10-30T23:59:59.000Z","false"
"blackboardGradeExportSnapshots","blocked","block","","No automatic trigger while the documented decision remains unresolved.","ASU 6.6/347 grade books","Registrar + LMS Owner","mixed_unresolved","ferpa_education_record","hold","Complete the Blackboard round trip and obtain written confirmation that the snapshot is not the permanent original grade sheet.","Confirm snapshot is not the permanent original grade sheet and complete the Blackboard round-trip gate.","2026-10-30T23:59:59.000Z","false"
"blackboardIdentityMappings","approved","delete","731","Mapping superseded, integration access terminated, or account closed","ASU 5.4/012 security access","LMS Owner + Security","processor_copy","security_authentication","accept_amended_guardrail","Use 731 days after supersession or access termination and retain longer only for an active security incident or access investigation.","Confirm Blackboard institutional mapping and incident hold process.","2026-10-30T23:59:59.000Z","false"
"blackboardProviderCopies","blocked","block","","No automatic trigger while the documented decision remains unresolved.","Provider/institution copy","LMS Owner + Records","provider_external_copy","mixed_unresolved","hold","Complete the institutional Blackboard archive, export, deletion, residual-copy, and confirmation review.","Complete Blackboard round-trip and obtain the institution's Blackboard archive/deletion policy.","2026-10-30T23:59:59.000Z","false"
"courseCommunicationPreferences","approved","delete","731","Preference superseded or course/account relationship terminated","ASU 5.4/012 security access","Privacy + Institution Technology","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 731 days after supersession or relationship termination while retaining separately required consent and accessibility preference evidence.","Confirm whether preference-change history is required for consent evidence.","2026-10-30T23:59:59.000Z","false"
"courseCommunicationReads","approved","delete","366","End of academic term or message disposition, whichever is later","ASU 6.6/375 / transitory metadata","Records/Registrar + Privacy","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 366 days after term end or message disposition and prohibit read-state from serving as official attendance or academic-action evidence.","Confirm read-state is not used as an official attendance or academic-action record.","2026-10-30T23:59:59.000Z","false"
"courseLessonProgress","approved","retain","1827","Graduation or date of last attendance","ASU 6.6/311 academic progress","Registrar + Records","governed_convenience_copy","ferpa_education_record","accept_amended_guardrail","Use 1827 days after graduation or last attendance and keep transcript or permanent achievement records in their separately designated system.","Confirm that lesson progress maps to academic progress rather than transient analytics.","2026-10-30T23:59:59.000Z","false"
