"domain_key","candidate_status","candidate_disposition","candidate_retention_days","candidate_trigger","candidate_record_series","candidate_accountable_owner","candidate_dependency","calendar_semantics_review_required","official_copy_role","privacy_classification","reviewer_decision","approved_disposition","approved_retention_days","approved_trigger","approved_authority_reference","conditions_and_exceptions","reviewer_unit_role","decision_date","review_due_at"
"assignmentDocumentFeedback","candidate_ready","delete","365","Later of academic-term end, final grade/feedback dispute resolution, or legal-hold release","ASU 6.6/375","Records/Registrar","Confirm that EdNotebook is a convenience copy rather than the official grade-appeal record.","true","","","","","","","","","","",""
"assignmentDrafts","candidate_ready","delete","365","Later of academic-term end, student export window, or legal-hold release","ASU 6.6/375","Records/Registrar","Confirm course-work classification and the student export notice.","true","","","","","","","","","","",""
"assignmentFormSubmissions","candidate_ready","delete","365","Later of academic-term end, final dispute resolution, research-protocol completion, or legal-hold release","ASU 6.6/375","Records/Registrar","Confirm EdNotebook record-copy status and research-routing behavior.","true","","","","","","","","","","",""
"auditEvents","blocked_pending_review","block","","No automatic trigger until event classes are segregated","Mixed FERPA access / ASU 1.2/010 / security audit","Privacy/Records + Security","Split audit events by record class or approve a longest-applicable retention rule.","false","","","","","","","","","","",""
"authIdentities","blocked_pending_review","block","","No automatic trigger until student-status-specific account rules are represented","ASU student technology account schedule","Institution Technology + Records","Implement status-aware triggers and confirm whether identity metadata is an official access record.","false","","","","","","","","","","",""
"authProviderLogs","blocked_pending_review","block","","Provider log expiry plus verified export/hold handling","Provider-specific logs","Security + Institution Technology","Document current Supabase plan TTL, database-log setting, export procedure, and hold exception.","false","","","","","","","","","","",""
"authSessions","candidate_ready","delete","30","Session expiry or revocation, whichever occurs first","Transitory security session","Security","Verify Supabase Auth session cleanup and token revocation behavior.","false","","","","","","","","","","",""
"billingCustomers","candidate_ready","retain","1095","Close of the fiscal year containing the final financial activity","ASU 4.1-4.4 FE+3","Finance/Tax + Privacy","Finance must confirm the fiscal-year trigger and whether a longer tax or dispute period applies.","true","","","","","","","","","","",""
"billingSubscriptions","candidate_ready","retain","1095","Close of the fiscal year containing cancellation or final subscription activity","ASU 4.1-4.4 FE+3","Finance/Tax + Privacy","Finance must confirm fiscal-year calculation and transaction-record linkage.","true","","","","","","","","","","",""
"blackboardGradeExportSnapshots","candidate_ready","retain","1460","End of the semester represented by the export, after all grade disputes resolve","ASU 6.6/347 grade books","Registrar + LMS Owner","Confirm snapshot is not the permanent original grade sheet and complete the Blackboard round-trip gate.","true","","","","","","","","","","",""
"blackboardIdentityMappings","candidate_ready","delete","730","Mapping superseded, integration access terminated, or account closed","ASU 5.4/012 security access","LMS Owner + Security","Confirm Blackboard institutional mapping and incident hold process.","true","","","","","","","","","","",""
"blackboardProviderCopies","blocked_pending_review","block","","Institution-controlled Blackboard archive and deletion event","Provider/institution copy","LMS Owner + Records","Complete Blackboard round-trip and obtain the institution's Blackboard archive/deletion policy.","false","","","","","","","","","","",""
"courseCommunicationPreferences","candidate_ready","delete","730","Preference superseded or course/account relationship terminated","ASU 5.4/012 security access","Privacy + Institution Technology","Confirm whether preference-change history is required for consent evidence.","true","","","","","","","","","","",""
"courseCommunicationReads","candidate_ready","delete","365","End of academic term or message disposition, whichever is later","ASU 6.6/375 / transitory metadata","Records/Registrar + Privacy","Confirm read-state is not used as an official attendance or academic-action record.","true","","","","","","","","","","",""
"courseLessonProgress","candidate_ready","retain","1825","Graduation or date of last attendance","ASU 6.6/311 academic progress","Registrar + Records","Confirm that lesson progress maps to academic progress rather than transient analytics.","true","","","","","","","","","","",""
"courseMemberships","candidate_ready","retain","1825","End of the academic year in which membership is posted to the academic record","ASU 6.3/66 class rolls","Registrar + LMS Owner","Confirm the end-of-academic-year trigger used by ASU.","true","","","","","","","","","","",""
"courseProgress","candidate_ready","retain","1825","Graduation or date of last attendance","ASU 6.6/311 academic progress","Registrar + Records","Confirm course progress is an academic-progress record and not the permanent transcript.","true","","","","","","","","","","",""
"educatorVerificationRequests","candidate_ready","retain","730","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","Confirm verification evidence minimization and complaint escalation path.","true","","","","","","","","","","",""
"fileDeletionRequests","candidate_ready","retain","3650","Final disposition or transfer of the requested record","ASU 1.2/010 disposition logs","Records Officer","Confirm this domain is the EdNotebook disposition log and includes required ASU fields.","true","","","","","","","","","","",""
"filePreviews","candidate_ready","delete","7","Source deletion, preview expiry, or source replacement","Transitory derivative","Security + Storage Owner","Verify preview workers and cache invalidation complete within the seven-day outer bound.","false","","","","","","","","","","",""
"gradeShareLinks","candidate_ready","delete","730","Share revoked, expired, or underlying grade record access terminated","ASU 5.4/012 security access","Registrar + Security","Confirm FERPA disclosure logging is captured separately for the life of the underlying record.","true","","","","","","","","","","",""
"identityOnboardingRequests","candidate_ready","retain","730","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","Confirm linkage to account-status-specific deletion rules.","true","","","","","","","","","","",""
"institutionAccessApplications","candidate_ready","retain","730","Final approval, denial, withdrawal, or expiration","ASU 5.4/012 security access","Institution Technology + Security","Confirm evidence redaction after verification.","true","","","","","","","","","","",""
"institutionAffiliations","candidate_ready","retain","1825","Graduation or date of last attendance, or affiliation termination for non-students","ASU 6.6 departmental student files","Registrar + Records","Confirm role-specific trigger and exclude employee-only records from the student matrix.","true","","","","","","","","","","",""
"institutionMemberships","candidate_ready","retain","1825","Graduation or date of last attendance, or membership termination for non-students","ASU 6.6 departmental student files","Registrar + Institution Technology","Confirm student versus employee/member record classification.","true","","","","","","","","","","",""
"institutionTransferRequests","candidate_ready","retain","1825","Final transfer disposition or graduation/date of last attendance, whichever is later","ASU 6.6/315 add-drop and status records","Registrar + Records","Confirm mapping to add/drop or change-of-status series.","true","","","","","","","","","","",""
"learningMessages","blocked_pending_review","block","","No automatic trigger until message record classes are separated","Mixed course work / correspondence / grievance","Privacy/Records + Registrar","Classify messages at creation and provide escalation to grievance, appeal, accommodation, research, and legal-hold series.","false","","","","","","","","","","",""
"learningResources","blocked_pending_review","block","","No automatic trigger until ownership and record-copy status are captured","Mixed course records / student work / publications","Records + Library/Publishing","Add resource type, owner, license, official-copy flag, and archival review metadata.","false","","","","","","","","","","",""
"learningSystemIdentifiers","candidate_ready","delete","730","Identifier superseded or integration/account access terminated","ASU 5.4/012 security access","Institution Technology + Security","Confirm every upstream/downstream system participates in deprovisioning.","true","","","","","","","","","","",""
"legalHoldFiles","blocked_pending_review","block","","Written legal-hold release and subsequent records-authorized disposition","ASU schedule litigation caution / 1.1/048","Legal Counsel + Records","Require written release, underlying-domain linkage, and disposition authorization.","false","","","","","","","","","","",""
"linkPreviews","candidate_ready","delete","7","Source link removal, preview expiry, or last governed reference","Transitory derivative","Privacy + Security","Verify crawler/cache deletion and prohibit sensitive-source snapshots.","false","","","","","","","","","","",""
"ltiContextMemberships","candidate_ready","retain","1825","End of the academic year in which membership is posted to the academic record","ASU 6.3/66 class rolls","Registrar + LMS Owner","Confirm context-to-course mapping and institutional record-copy designation.","true","","","","","","","","","","",""
