domain_key,system_owner,record_scope,contains_education_record,recommended_status,disposition,retention_days,retention_trigger,record_series,purpose,evidence_reference,review_notes,accountable_owner,unresolved_dependency
assignmentDocumentFeedback,ednotebook,linked_record,true,candidate_ready,delete,365,"Later of academic-term end, final grade/feedback dispute resolution, or legal-hold release",ASU 6.6/375,"Preserve assignment feedback long enough for learning review and disputes, then minimize student coursework copies.","ASU-RRS-6.6-375; FERPA-99.10(e)","Do not delete disputed feedback or material incorporated into a grade appeal, academic record, research protocol, or legal hold.",Records/Registrar,"Confirm that EdNotebook is a convenience copy rather than the official grade-appeal record."
assignmentDrafts,ednotebook,linked_record,true,candidate_ready,delete,365,"Later of academic-term end, student export window, or legal-hold release",ASU 6.6/375,"Give students an export and recovery window while limiting retention of unfinished student coursework.","ASU-RRS-6.6-375; ASU-RRP","Student-controlled deletion may occur earlier when no dispute, hold, submission dependency, or research protocol applies.",Records/Registrar,"Confirm course-work classification and the student export notice."
assignmentFormSubmissions,ednotebook,linked_record,true,candidate_ready,delete,365,"Later of academic-term end, final dispute resolution, research-protocol completion, or legal-hold release",ASU 6.6/375,"Retain submitted coursework through the institutional course-work window and then securely dispose of the copy.","ASU-RRS-6.6-375; FERPA-99.10(e)","If a submission is the official grade evidence or research data, route it to that longer-lived record class before disposal.",Records/Registrar,"Confirm EdNotebook record-copy status and research-routing behavior."
auditEvents,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until event classes are segregated",Mixed FERPA access / ASU 1.2/010 / security audit,"Prevent destruction of disclosure, disposition, security, and governance evidence that can carry different retention periods.","FERPA-99.32; ASU-RRS-1.2-010","One undifferentiated audit domain cannot safely use one period: FERPA disclosure logs follow the underlying education record, while disposition logs are ten years.",Privacy/Records + Security,"Split audit events by record class or approve a longest-applicable retention rule."
authIdentities,supabase_auth,account,true,blocked_pending_review,block,,"No automatic trigger until student-status-specific account rules are represented",ASU student technology account schedule,"Avoid deleting active identities or retaining departed-user account data beyond the applicable student-status window.","ASU-ACCOUNT-RETENTION; ASU-RRS-5.4-012","ASU uses different windows for applicants, admitted students, undergraduates, graduate students, and graduates; one domain-wide day count is unsafe.",Institution Technology + Records,"Implement status-aware triggers and confirm whether identity metadata is an official access record."
authProviderLogs,supabase_auth,provider,true,blocked_pending_review,block,,"Provider log expiry plus verified export/hold handling",Provider-specific logs,"Keep authentication evidence only for the approved security and incident-response window while respecting provider-controlled expiry.","SUPABASE-AUTH-AUDIT; SUPABASE-LOGS","Provider plan retention and local Postgres audit-log storage are separate. Legal/security holds need a governed export path before provider expiry.",Security + Institution Technology,"Document current Supabase plan TTL, database-log setting, export procedure, and hold exception."
authSessions,supabase_auth,account,true,candidate_ready,delete,30,"Session expiry or revocation, whichever occurs first",Transitory security session,"Remove expired authentication session material promptly while retaining only the minimum operational troubleshooting window.","ASU-RRS-1.1-057; FERPA-DATA-DESTRUCTION","Revoke immediately on account closure or compromise; the 30-day period applies only to non-secret session metadata, never reusable tokens.",Security,"Verify Supabase Auth session cleanup and token revocation behavior."
billingCustomers,ednotebook,linked_record,true,candidate_ready,retain,1095,"Close of the fiscal year containing the final financial activity",ASU 4.1-4.4 FE+3,"Maintain merchant-side customer and reconciliation references required for financial reporting without storing card or bank details.","ASU-RRS-4.1-4.4; STRIPE-DPA","Use Stripe identifiers and minimized receipts only. Payment credentials remain with Stripe; disputes, audits, or holds extend retention.",Finance/Tax + Privacy,"Finance must confirm the fiscal-year trigger and whether a longer tax or dispute period applies."
billingSubscriptions,ednotebook,linked_record,true,candidate_ready,retain,1095,"Close of the fiscal year containing cancellation or final subscription activity",ASU 4.1-4.4 FE+3,"Retain subscription status and reconciliation evidence for the financial-record period, then minimize personal data.","ASU-RRS-4.1-4.4; STRIPE-DPA","Do not treat cancellation as permission to delete unresolved invoices, refunds, disputes, tax evidence, or legal holds.",Finance/Tax + Privacy,"Finance must confirm fiscal-year calculation and transaction-record linkage."
blackboardGradeExportSnapshots,ednotebook,linked_record,true,candidate_ready,retain,1460,"End of the semester represented by the export, after all grade disputes resolve",ASU 6.6/347 grade books,"Preserve the reconstruction evidence for a course grade export while preventing indefinite duplicate grade stores.","ASU-RRS-6.6-347; FERPA-99.10(e)","If ASU designates the snapshot as an original grade sheet, permanent retention applies instead; this proposal assumes reconstruction evidence.",Registrar + LMS Owner,"Confirm snapshot is not the permanent original grade sheet and complete the Blackboard round-trip gate."
blackboardIdentityMappings,ednotebook,linked_record,true,candidate_ready,delete,730,"Mapping superseded, integration access terminated, or account closed",ASU 5.4/012 security access,"Retain LMS identity mapping briefly for reconciliation and access investigations, then remove the cross-system identifier.","ASU-RRS-5.4-012; ANTHOLOGY-FERPA","Do not delete while linked grade exports or unresolved sync incidents still require the mapping.",LMS Owner + Security,"Confirm Blackboard institutional mapping and incident hold process."
blackboardProviderCopies,blackboard,external_copy,true,blocked_pending_review,block,,"Institution-controlled Blackboard archive and deletion event",Provider/institution copy,"Prevent EdNotebook from claiming disposal of education records that remain in an institution-controlled Blackboard environment.","ANTHOLOGY-FERPA; ANTHOLOGY-ARCHIVES","The institution controls course archives and retention; EdNotebook must record the request, result, and residual provider copy without pretending it deleted the provider.",LMS Owner + Records,"Complete Blackboard round-trip and obtain the institution's Blackboard archive/deletion policy."
courseCommunicationPreferences,ednotebook,linked_record,true,candidate_ready,delete,730,"Preference superseded or course/account relationship terminated",ASU 5.4/012 security access,"Keep notification and communication controls long enough to resolve delivery or consent disputes, then remove obsolete preferences.","ASU-RRS-5.4-012; FERPA-DATA-DESTRUCTION","Current preferences remain active; superseded values should not become an indefinite behavioral profile.",Privacy + Institution Technology,"Confirm whether preference-change history is required for consent evidence."
courseCommunicationReads,ednotebook,linked_record,true,candidate_ready,delete,365,"End of academic term or message disposition, whichever is later",ASU 6.6/375 / transitory metadata,"Retain read-state evidence through the course and dispute window, then minimize fine-grained engagement metadata.","ASU-RRS-6.6-375; ASU-RRS-1.1-057","A read receipt attached to a grievance, accommodation, grade appeal, or legal hold inherits the longer record class.",Records/Registrar + Privacy,"Confirm read-state is not used as an official attendance or academic-action record."
courseLessonProgress,ednotebook,linked_record,true,candidate_ready,retain,1825,"Graduation or date of last attendance",ASU 6.6/311 academic progress,"Preserve lesson completion evidence for academic-progress review and student access while limiting duplicate progress stores.","ASU-RRS-6.6-311; FERPA-99.10","This applies to identifiable progress. Approved de-identified aggregate outcomes may be retained separately under research/governance rules.",Registrar + Records,"Confirm that lesson progress maps to academic progress rather than transient analytics."
courseMemberships,ednotebook,linked_record,true,candidate_ready,retain,1825,"End of the academic year in which membership is posted to the academic record",ASU 6.3/66 class rolls,"Maintain authoritative course membership evidence for roster, access, and grade reconciliation.","ASU-RRS-6.3-66; FERPA-99.10","Rejected or abandoned enrollment requests are handled separately; active/accepted membership changes must remain reconstructable.",Registrar + LMS Owner,"Confirm the end-of-academic-year trigger used by ASU."
courseProgress,ednotebook,linked_record,true,candidate_ready,retain,1825,"Graduation or date of last attendance",ASU 6.6/311 academic progress,"Retain course-level academic progress for advising, completion, and student record access.","ASU-RRS-6.6-311; FERPA-99.10","Research exports must be de-identified and governed separately; legal holds and access requests pause disposition.",Registrar + Records,"Confirm course progress is an academic-progress record and not the permanent transcript."
educatorVerificationRequests,ednotebook,linked_record,true,candidate_ready,retain,730,"Final approval, denial, withdrawal, or expiration",ASU 5.4/012 security access,"Preserve human verification decisions long enough for access review, fraud response, and re-application checks.","ASU-RRS-5.4-012; ASU-RRS-1.1-006","Escalated complaints, investigations, or litigation inherit the applicable longer record class.",Institution Technology + Security,"Confirm verification evidence minimization and complaint escalation path."
fileDeletionRequests,ednotebook,linked_record,true,candidate_ready,retain,3650,"Final disposition or transfer of the requested record",ASU 1.2/010 disposition logs,"Maintain durable evidence of authorized deletion, transfer, blocked disposition, and responsible actor.","ASU-RRS-1.2-010; ASU-RRP","Keep metadata and outcome, not deleted file content. A failed or partial deletion must remain visible until reconciled.",Records Officer,"Confirm this domain is the EdNotebook disposition log and includes required ASU fields."
filePreviews,ednotebook,linked_record,true,candidate_ready,delete,7,"Source deletion, preview expiry, or source replacement",Transitory derivative,"Remove derived previews promptly so file deletion and access revocation are not defeated by stale copies.","ASU-RRS-1.1-057; SUPABASE-SMART-CDN","Preview deletion must cover generated bytes, metadata, signed links, and cache invalidation; legal holds apply to the source, not an unnecessary derivative.",Security + Storage Owner,"Verify preview workers and cache invalidation complete within the seven-day outer bound."
gradeShareLinks,ednotebook,linked_record,true,candidate_ready,delete,730,"Share revoked, expired, or underlying grade record access terminated",ASU 5.4/012 security access,"Retain access-grant evidence for security review, then remove obsolete tokens and mappings.","ASU-RRS-5.4-012; FERPA-99.32","Reusable secrets must be invalidated immediately; the period applies only to sanitized grant metadata and access evidence.",Registrar + Security,"Confirm FERPA disclosure logging is captured separately for the life of the underlying record."
identityOnboardingRequests,ednotebook,linked_record,true,candidate_ready,retain,730,"Final approval, denial, withdrawal, or expiration",ASU 5.4/012 security access,"Document identity onboarding decisions and prevent unauthorized role creation while avoiding indefinite applicant identity retention.","ASU-RRS-5.4-012; ASU-ACCOUNT-RETENTION","If an approved request becomes the active identity record, the active identity lifecycle controls; rejected request evidence is minimized after the review window.",Institution Technology + Security,"Confirm linkage to account-status-specific deletion rules."
institutionAccessApplications,ednotebook,linked_record,true,candidate_ready,retain,730,"Final approval, denial, withdrawal, or expiration",ASU 5.4/012 security access,"Retain institution-access decisions for authorization review and fraud response.","ASU-RRS-5.4-012; ASU-ACCOUNT-RETENTION","Do not retain uploaded identity evidence when a minimized decision record is sufficient; investigations and holds override.",Institution Technology + Security,"Confirm evidence redaction after verification."
institutionAffiliations,ednotebook,linked_record,true,candidate_ready,retain,1825,"Graduation or date of last attendance, or affiliation termination for non-students",ASU 6.6 departmental student files,"Preserve the institutional relationship needed to interpret course and academic records.","ASU-RRS-6.6-510; FERPA-99.10","Non-student affiliations may require a different personnel or vendor series and must be routed before this policy applies.",Registrar + Records,"Confirm role-specific trigger and exclude employee-only records from the student matrix."
institutionMemberships,ednotebook,linked_record,true,candidate_ready,retain,1825,"Graduation or date of last attendance, or membership termination for non-students",ASU 6.6 departmental student files,"Retain institutional membership history needed for tenant authorization and education-record interpretation.","ASU-RRS-6.6-510; FERPA-99.10","Current memberships are not eligible for disposition; role changes and transfers must remain reconstructable.",Registrar + Institution Technology,"Confirm student versus employee/member record classification."
institutionTransferRequests,ednotebook,linked_record,true,candidate_ready,retain,1825,"Final transfer disposition or graduation/date of last attendance, whichever is later",ASU 6.6/315 add-drop and status records,"Maintain transfer decision history needed to reconcile tenant ownership and student access.","ASU-RRS-6.6-315; FERPA-99.10","Rejected and withdrawn requests may be minimized sooner only after Records approves a distinct series.",Registrar + Records,"Confirm mapping to add/drop or change-of-status series."
learningMessages,ednotebook,linked_record,true,blocked_pending_review,block,,"No automatic trigger until message record classes are separated",Mixed course work / correspondence / grievance,"Prevent deletion of messages that may constitute routine chatter, academic feedback, accommodation evidence, grievances, or legal records.","ASU-RRS-1.1-007; ASU-RRS-1.1-008; ASU-RRS-6.6-375","Content and context determine retention. A single global day count would either over-retain private messages or destroy required records.",Privacy/Records + Registrar,"Classify messages at creation and provide escalation to grievance, appeal, accommodation, research, and legal-hold series."
